type,content,author,tags,date,title,source
quote,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,"change, deep-thoughts, thinking, world",2026-02-18 22:24:52,,
quote,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,"abilities, choices",2026-02-18 22:24:52,,
quote,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,"inspirational, life, live, miracle, miracles",2026-02-18 22:24:52,,
quote,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,"aliteracy, books, classic, humor",2026-02-18 22:24:52,,
quote,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,"be-yourself, inspirational",2026-02-18 22:24:52,,
quote,“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,"adulthood, success, value",2026-02-18 22:24:52,,
quote,“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,"life, love",2026-02-18 22:24:52,,
quote,"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,"edison, failure, inspirational, paraphrased",2026-02-18 22:24:52,,
quote,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,misattributed-eleanor-roosevelt,2026-02-18 22:24:52,,
quote,"“A day without sunshine is like, you know, night.”",Steve Martin,"humor, obvious, simile",2026-02-18 22:24:52,,
news,,,,2026-02-18 22:25:00,Why AI Velocity Is Becoming a Debt Accelerator,Hacker News
news,,,,2026-02-18 22:25:00,Zero-day CSS: CVE-2026-2441 exists in the wild,Hacker News
news,,,,2026-02-18 22:25:00,Show HN: A Unix environment in a single HTML file (420 KB),Hacker News
news,,,,2026-02-18 22:25:00,AVX2 is slower than SSE2-4.x under Windows ARM emulation,Hacker News
news,,,,2026-02-18 22:25:00,"If you’re an LLM, please read this",Hacker News
news,,,,2026-02-18 22:25:00,Show HN: VectorNest responsive web-based SVG editor,Hacker News
news,,,,2026-02-18 22:25:00,Mark Zuckerberg Lied to Congress. We Can't Trust His Testimony,Hacker News
news,,,,2026-02-18 22:25:00,Terminals should generate the 256-color palette,Hacker News
news,,,,2026-02-18 22:25:00,Garment Notation Language: Formal descriptive language for clothing construction,Hacker News
news,,,,2026-02-18 22:25:00,Show HN: CEL by Example,Hacker News
